	region
12453x16801	0.0
12141x16981	0.0
12453x17160	0.0
12141x17339	0.0
12453x17519	0.0
12141x17698	0.0
12454x17878	0.0
12142x18057	0.0
12454x18236	0.0
12142x18416	0.0
12454x18595	0.0
12142x18775	0.0
12454x18954	0.0
12142x19134	0.0
12454x19313	0.0
12142x19493	0.0
12454x19672	0.0
12142x19851	0.0
12455x20031	0.0
12143x20210	0.0
12455x20390	0.0
12143x20569	0.0
12455x20748	0.0
12143x20928	0.0
12455x21107	0.0
12143x21287	0.0
12455x21466	0.0
12143x21646	0.0
12455x21825	0.0
12143x22005	0.0
12456x22184	0.0
12144x22363	0.0
12456x22543	0.0
12144x22722	0.0
12456x22902	0.0
12144x23081	0.0
12456x23260	0.0
12144x23440	0.0
12456x23619	0.0
12144x23799	0.0
12457x23978	0.0
12144x24158	0.0
12457x24337	0.0
12145x24517	0.0
12457x24696	0.0
12145x24875	0.0
12457x25055	0.0
12145x25234	0.0
12457x25413	0.0
13073x6753	1.0
12761x6932	1.0
13073x7112	1.0
12761x7291	1.0
13073x7470	1.0
12761x7650	1.0
13073x7829	1.0
12761x8009	1.0
13074x8188	1.0
12761x8368	1.0
13074x8547	1.0
12762x8727	1.0
13074x8906	1.0
12762x9085	1.0
13074x9265	1.0
12762x9444	1.0
13074x9624	1.0
12762x9803	1.0
13074x9982	1.0
12762x10162	1.0
13075x10341	1.0
12762x10521	1.0
13075x10700	0.0
12763x10880	1.0
13075x11059	0.0
12763x11239	0.0
13075x11418	0.0
12763x11597	0.0
13075x11777	0.0
12763x11956	0.0
13075x12136	0.0
12763x12315	0.0
13076x12494	0.0
12763x12674	0.0
13076x12853	0.0
12764x13033	0.0
13076x13212	0.0
12764x13392	0.0
13076x13571	0.0
12764x13751	0.0
13076x13930	0.0
12764x14109	0.0
13076x14289	0.0
12764x14468	0.0
13077x14648	0.0
12764x14827	0.0
13077x15006	0.0
12765x15186	0.0
13077x15365	0.0
12765x15545	0.0
13077x15724	0.0
12765x15904	0.0
13077x16083	0.0
12765x16263	0.0
13077x16442	0.0
12765x16621	0.0
13078x16801	0.0
12765x16980	0.0
13078x17160	0.0
12766x17339	0.0
13078x17518	0.0
12766x17698	0.0
13078x17877	0.0
12766x18057	0.0
13078x18236	0.0
12766x18416	0.0
13078x18595	0.0
12766x18775	0.0
13079x18954	0.0
12766x19133	0.0
13079x19313	0.0
12767x19492	0.0
13079x19672	0.0
12767x19851	0.0
13079x20030	0.0
12767x20210	0.0
13079x20389	0.0
12767x20569	0.0
13079x20748	0.0
12767x20928	0.0
13080x21107	0.0
12767x21287	0.0
13080x21466	0.0
12768x21645	0.0
13080x21825	0.0
12768x22004	0.0
13080x22184	0.0
12768x22363	0.0
13080x22542	0.0
12768x22722	0.0
13080x22901	0.0
12768x23081	0.0
13081x23260	0.0
12768x23440	0.0
13081x23619	0.0
12769x23799	0.0
13081x23978	0.0
12769x24157	0.0
13081x24337	0.0
12769x24516	0.0
13081x24695	0.0
12769x24875	0.0
13081x25054	0.0
12769x25234	0.0
13082x25413	0.0
13385x6573	1.0
13697x6752	1.0
13385x6932	1.0
13697x7111	1.0
13385x7291	1.0
13698x7470	1.0
13385x7650	1.0
13698x7829	1.0
13386x8009	1.0
13698x8188	1.0
13386x8367	1.0
13698x8547	1.0
13386x8726	1.0
13698x8906	1.0
13386x9085	1.0
13698x9264	1.0
13386x9444	1.0
13699x9623	1.0
13386x9803	1.0
13699x9982	0.0
13387x10162	1.0
13699x10341	0.0
13387x10521	0.0
13699x10700	0.0
13387x10879	0.0
13699x11059	0.0
13387x11238	0.0
13699x11418	0.0
13387x11597	0.0
13700x11776	0.0
13387x11956	0.0
13700x12135	0.0
13388x12315	0.0
13700x12494	0.0
13388x12674	0.0
13700x12853	0.0
13388x13033	0.0
13700x13212	0.0
13388x13391	0.0
13700x13571	0.0
13388x13750	0.0
13701x13930	0.0
13388x14109	0.0
13701x14288	0.0
13389x14468	0.0
13701x14647	0.0
13389x14827	0.0
13701x15006	0.0
13389x15186	0.0
13701x15365	0.0
13389x15545	0.0
13701x15724	0.0
13389x15903	0.0
13702x16083	0.0
13390x16262	0.0
13702x16442	0.0
13390x16621	0.0
13702x16800	0.0
13390x16980	0.0
13702x17159	0.0
13390x17339	0.0
13702x17518	0.0
13390x17698	0.0
13702x17877	0.0
13390x18057	0.0
13703x18236	0.0
13391x18415	0.0
13703x18595	0.0
13391x18774	0.0
13703x18954	0.0
13391x19133	0.0
13703x19312	0.0
13391x19492	0.0
13703x19671	0.0
13391x19851	0.0
13703x20030	0.0
13391x20210	0.0
13704x20389	0.0
13392x20569	0.0
13704x20748	0.0
13392x20927	0.0
13704x21107	0.0
13392x21286	0.0
13704x21466	0.0
13392x21645	0.0
13704x21824	0.0
13392x22004	0.0
13704x22183	0.0
13392x22363	0.0
13705x22542	0.0
13393x22722	0.0
13705x22901	0.0
13393x23080	0.0
13705x23260	0.0
13393x23439	0.0
13705x23619	0.0
13393x23798	0.0
13705x23977	0.0
13393x24157	0.0
13705x24336	0.0
13393x24516	0.0
13706x24695	0.0
13394x24875	0.0
13706x25054	0.0
13394x25234	0.0
13706x25413	0.0
14321x6393	1.0
14009x6573	1.0
14322x6752	1.0
14010x6932	1.0
14322x7111	1.0
14010x7291	1.0
14322x7470	1.0
14010x7649	1.0
14322x7829	1.0
14010x8008	1.0
14322x8188	1.0
14010x8367	1.0
14322x8546	1.0
14010x8726	1.0
14323x8905	1.0
14011x9085	1.0
14323x9264	1.0
14011x9444	1.0
14323x9623	0.0
14011x9803	0.0
14323x9982	0.0
14011x10161	0.0
14323x10341	0.0
14011x10520	0.0
14324x10700	0.0
14011x10879	0.0
14324x11058	0.0
14012x11238	0.0
14324x11417	0.0
14012x11597	0.0
14324x11776	0.0
14012x11956	0.0
14324x12135	0.0
14012x12315	0.0
14324x12494	0.0
14012x12673	0.0
14325x12853	0.0
14012x13032	0.0
14325x13212	0.0
14013x13391	0.0
14325x13570	0.0
14013x13750	0.0
14325x13929	0.0
14013x14109	0.0
14325x14288	0.0
14013x14468	0.0
14325x14647	0.0
14013x14827	0.0
14326x15006	0.0
14013x15185	0.0
14326x15365	0.0
14014x15544	0.0
14326x15724	0.0
14014x15903	0.0
14326x16082	0.0
14014x16262	0.0
14326x16441	0.0
14014x16621	0.0
14326x16800	0.0
14014x16980	0.0
14327x17159	0.0
14014x17339	0.0
14327x17518	0.0
14015x17697	0.0
14327x17877	0.0
14015x18056	0.0
14327x18236	0.0
14015x18415	0.0
14327x18594	0.0
14015x18774	0.0
14327x18953	0.0
14015x19133	0.0
14328x19312	0.0
14015x19492	0.0
