	region
18637x25769	0.0
18955x25951	0.0
18638x26134	0.0
18956x26316	0.0
18639x26499	0.0
18957x26681	0.0
18640x26864	0.0
18958x27046	0.0
18641x27229	0.0
18959x27411	0.0
18642x27594	0.0
18960x27776	0.0
19548x9884	1.0
19231x10067	1.0
19549x10249	1.0
19232x10432	1.0
19550x10614	1.0
19233x10797	1.0
19551x10979	1.0
19234x11162	1.0
19552x11344	1.0
19235x11527	1.0
19553x11709	1.0
19236x11893	1.0
19554x12074	1.0
19237x12258	1.0
19555x12439	1.0
19238x12623	1.0
19556x12805	1.0
19239x12988	1.0
19557x13170	1.0
19239x13353	1.0
19558x13535	1.0
19240x13718	1.0
19559x13900	0.0
19241x14083	0.0
19560x14265	0.0
19242x14448	0.0
19561x14630	0.0
19243x14814	0.0
19562x14995	0.0
19244x15179	0.0
19562x15360	0.0
19245x15544	0.0
19563x15726	0.0
19246x15909	0.0
19564x16091	0.0
19247x16274	0.0
19565x16456	0.0
19248x16639	0.0
19566x16821	0.0
19249x17004	0.0
19567x17186	0.0
19250x17369	0.0
19568x17551	0.0
19251x17735	0.0
19569x17916	0.0
19252x18100	0.0
19570x18281	0.0
19253x18465	0.0
19571x18646	0.0
19254x18830	0.0
19572x19012	0.0
19255x19195	0.0
19573x19377	0.0
19256x19560	0.0
19574x19742	0.0
19257x19925	0.0
19575x20107	0.0
19258x20290	0.0
19576x20472	0.0
19259x20655	0.0
19577x20837	0.0
19260x21021	0.0
19578x21202	0.0
19261x21386	0.0
19579x21567	0.0
19262x21751	0.0
19580x21933	0.0
19263x22116	0.0
19581x22298	0.0
19264x22481	0.0
19582x22663	0.0
19265x22846	0.0
19583x23028	0.0
19266x23211	0.0
19584x23393	0.0
19267x23576	0.0
19585x23758	0.0
19268x23942	0.0
19586x24123	0.0
19269x24307	0.0
19587x24488	0.0
19270x24672	0.0
19588x24853	0.0
19270x25037	0.0
19589x25219	0.0
19271x25402	0.0
19590x25584	0.0
19272x25767	0.0
19591x25949	0.0
19273x26132	0.0
19592x26314	0.0
19274x26497	0.0
19593x26679	0.0
19275x26862	0.0
19593x27044	0.0
19276x27228	0.0
19594x27409	0.0
19277x27593	0.0
19595x27774	0.0
19866x10065	1.0
20184x10247	1.0
19867x10430	1.0
20185x10612	1.0
19868x10796	1.0
20186x10977	1.0
19869x11161	1.0
20187x11342	1.0
19870x11526	1.0
20188x11708	1.0
19871x11891	1.0
20189x12073	1.0
19872x12256	1.0
20190x12438	1.0
19873x12621	1.0
20191x12803	1.0
19874x12986	1.0
20192x13168	1.0
19875x13351	1.0
20193x13533	0.0
19876x13717	0.0
20194x13898	0.0
19877x14082	0.0
20195x14263	0.0
19878x14447	0.0
20196x14628	0.0
19879x14812	0.0
20197x14994	0.0
